[##V]_0,[##V]_1,[AGENCY]_0,[AGENCY]_1,[CS]_0,[CS]_1,[UID]_0,[UID]_1,[YEAR]_0,[YEAR]_1
1,1,1129437685,-222197185,-548026057,1918824076,-272953145,1873883487,-1875968972,-833774759
1,1,1014184156,1010639475,-240239422,-756429730,1468231,2049189835,-898419450,1044954408
1,1,-635879759,838747571,1377161282,1565337335,1709914481,1510364899,395566996,1576858776
1,1,1154138183,-953518312,557736987,2014493400,871394417,-1372113911,903042996,1901043384
1,1,-223602638,3992826,655072135,-104349573,-1190144483,1360709159,1074192849,-304927286
1,1,2056717094,751510011,-1277189223,905977422,2094004159,-316445415,19800695,369646275
1,1,-1514309426,-192036331,206280339,342897149,1126121241,-234672897,-1317287170,1143919663
1,1,-369340307,-1485514741,376841949,1840090852,-632084255,1079872364,-164060293,-1458538269
1,1,-1042572246,-1713764797,-1912759337,-1846368616,-1591080393,-1165022548,1797802664,1245812293
1,1,1776433470,456712390,-554449638,458751115,1429556002,2095189212,339690380,-910581440
1,1,1148427857,-1324917167,-392306918,625540517,-1283076045,-2027930720,1586774006,-1379657604
1,1,-1054905771,-878756895,-1481626756,269873493,383952564,-938103123,-830353841,511708482
1,1,-1022803095,1823056276,-1633064177,2140930573,163173260,797985400,2085825075,-1680615331
1,1,1534249453,31874438,-39032164,884633045,-385614592,-867218079,1592758626,569377130
1,1,-1939658949,66169351,2115732353,305484069,-802204355,121822819,-2086723142,1059921011
1,1,-1949916652,-1453934985,2053938417,516278464,75585310,-535680992,-927431732,176597802
1,1,111879120,-2099965659,-1886865907,-282766200,899207591,-35048331,431117324,-419042384
1,1,1620201736,-891043078,42108018,1001806937,1408204445,1735986637,805568969,-562821295
1,1,-1022451617,53084427,-1464943143,1278454690,818629087,1555760783,-1740748350,916728307
1,1,-418844598,1128469451,-896044699,760380542,-494365135,880223001,1490205408,931939634
1,1,770659979,92408125,407430301,200749662,-1259615590,-1478487313,-1716770596,598500091
1,1,1179145100,1024145684,-226205012,-706396510,14611349,1342192114,1196403953,-1718992345
1,1,-1808140391,-251892085,2127370194,379853843,-547427191,921715462,922531930,-1963180567
1,1,1780974554,1223382124,-1651414416,-602287083,-887371689,-567271422,-672570389,-1900530601
1,1,1286097796,741641370,-296315039,-569195106,-523217015,1794904717,-386536785,-1984379046
1,1,404520889,-706092475,-206845728,-1921903593,-1195028429,-315404695,1773869611,1345647930
1,1,-1536939884,1683792055,-1437145755,-122371833,-200424050,-2009358534,6522059,565370292
1,1,1436276732,1666022642,-225129115,-373922468,40186423,-277815668,535230482,-335738546
1,1,-1081463559,1511811494,1231125894,-997374679,-1171925299,-77754774,1144124525,582800875
1,1,1011779299,-1083276910,-2086162306,2075488846,807626137,449529725,100081919,835887993
1,1,892148050,1154968499,-1839276981,2116710819,235224937,1681491582,1917059746,114862961
1,1,-2053882943,979604561,-1935497886,976141703,1793433909,304322581,1322536459,1404409244
1,1,-33635292,-854336233,984170671,-469718598,-1560652308,897110365,-1504181238,1535817464
1,1,-2098164748,2144033228,476120588,-1981286094,1639021058,878118076,-1575248625,1027108607
1,1,-1238329401,-108393332,295096001,670424575,-2146162655,188191147,-1173941541,-575507050
1,1,1751255318,1958667474,-92762713,462733311,918008426,1645569840,-297733046,1968737301
1,1,-1843309340,-444499337,1440389672,978262893,1722257632,1593683434,28850626,-1260307226
1,1,269887426,147307572,1618807078,-203869758,214371816,1798723907,-267743140,-1414598249
1,1,-266812243,-2093048431,-1195036755,1307350642,-1300616670,-1574647444,-93549139,-628571249
1,1,-1558214298,-1516134514,537983953,-420621952,-1476397294,885169653,-456752635,-1735923951
1,1,-861558374,743723951,-511974415,616768200,535571092,-1823089287,-418137423,-1799685321
