[##V]_0,[##V]_1,[##V]_2,[AGENCY]_0,[AGENCY]_1,[AGENCY]_2,[CS]_0,[CS]_1,[CS]_2,[UID]_0,[UID]_1,[UID]_2,[YEAR]_0,[YEAR]_1,[YEAR]_2
-2120129784,1141831068,197709089,1389985541,-1059566148,-705657148,1893580357,1918401651,368006715,-95432449,-617855108,-913311384,910501585,-745719444,1748835667
-88075245,1898474332,17655060,-2005921150,340637013,-574717694,125238761,-33918913,-1967273465,-1306851130,1596395963,1011046565,-1950957749,520386071,1972023578
2106147125,1311146441,-962609860,70929016,1465514936,414781548,1808377624,1023691614,-1345314616,-2062334941,1309584112,-940852005,-388521470,-1265410051,886167630
-944784661,102148100,375253935,-1779251753,1090952903,-1879247487,1563010486,2100455034,875448169,-810494827,-920996009,560050366,-713599953,2090271874,1994417676
-1167879154,-48083344,-1252050311,1002469628,1821043452,-133659939,-541721956,-485964562,-426239764,-1179177863,647667804,154414097,-302546703,-71724993,1355542433
-446641282,-60617077,746828264,-2104862098,-2070260510,929173879,-1470009305,395433627,766425444,1827721727,-694881632,117855697,-776354122,-1704966621,545901769
920913055,569364178,1553068118,-1082608853,-2095655472,1698378122,-1948171059,2089778068,318450702,-269936633,-1078861975,-1227839850,-436278185,466307626,-1084944982
1118371504,-1182122485,155817826,468329791,-556390034,1373890522,1625389610,-1693630381,1998972037,1788430142,238619553,1150518903,1465185557,452766110,-1320983735
570024665,-167083920,672352669,1333817651,-341076283,-1131031103,1938694092,1734940518,-2066584442,-1152568767,1898014936,-1794961229,660718321,-1379887930,-59860894
-55688594,-1154191752,2072272999,-99061882,-408130716,2026988478,16428026,-1179594239,-494473505,1399141908,-1161295822,1113444867,-350713944,980705956,521697695
-1281798112,-1327078887,-108316080,-1980972310,-639054297,887806734,885582578,-368188986,613090179,201483484,-1856541407,-1540041854,-1296471273,-820834286,-482384552
2039187582,-2016067601,-1396341236,-1481152954,96352482,1499752808,1836468544,2082686573,141871475,-1738970810,1823489224,1986909172,-1638823585,1631903349,-88744649
323719332,-363182577,-2090743698,2075279050,1824917148,1481804662,-602659756,-410270698,-379958637,-399803073,931098093,933138482,606263109,1843512511,-792727394
-895004571,1978237671,-1808756793,416681647,-1460407458,-1970629028,2024451252,20736053,412119001,-1111586691,-565636349,160793244,-24228681,1447278163,1522072018
48310858,1433701324,-1737680382,-228793882,1028588821,133448393,860763728,-979471442,-97024370,326525796,-1052389454,101013479,-133280700,-1355500661,281278239
-1156518620,1845417410,808714275,102977025,1992242833,484148391,437253943,-883227168,-1914250623,1921645045,857411912,-600520058,661034462,-1523647241,654870531
-1396987690,-1897930077,-769783989,-1204865368,-1055653826,1284204740,1739614525,-1102994047,-1424056619,1796930305,770803220,376176479,-1867615463,120906811,-924938113
2074426366,-313226118,781699310,1661516615,830095859,-1968837859,39981892,-1959321217,-213882598,-1726324859,265876629,1840204030,502931819,1633565309,1651449732
1317830247,-209390148,-788396032,1416990080,1297369885,1199177477,1268079375,-398928359,-171144373,-396504016,991806585,-1506941616,1322804010,804941193,667179423
-464629171,-75297663,1998621595,-1317145444,-2009291859,-1912840442,-115897256,1099316559,-535899742,1498256525,944889794,-1149620532,1153612423,-470011245,2090446
-1392056758,1909942259,-958386740,479122157,-1703341138,141747743,1462283700,1709536169,-383111282,-106149133,907802701,-632632398,459071395,308226731,860741390
-125328909,781741070,2072490984,1563586434,1913920808,662163503,-1631826853,1106232522,1748894053,-1148843287,1161844582,1260619503,-402020641,-1685632424,-1534040877
-1868193121,958612943,-671879464,316934709,440549333,-1042133318,1408268430,-1908921399,1873455972,-1571689711,-1699665628,1578227733,-1537899350,-1132238421,-1639551831
-1043055559,423410292,1529868692,35536038,2127758112,209596040,-538453828,1585834552,1254101062,783308562,1060634256,-1247066733,-115106214,1922040274,-1630876538
-1934896674,-1119274344,-883206980,-1742752802,291937650,1565826801,-1144920460,-1210776935,136067937,-1360227295,-1118199556,-1671374400,-286659098,-254871545,-940894250
-216395848,-1318170710,1299852588,-435151775,812940777,1371289157,188307762,242097680,1592039630,-1824735555,-679914683,-1779131252,534674272,-1107257472,1826414127
-95394377,656722584,-2021942850,444854387,1727222556,1515962031,546845202,-928057978,440402853,-56969051,-2127932734,749333496,336880774,352070192,546374491
1203096978,-999274757,-159440682,987911278,-118219969,-1037097847,129385421,1617328356,680532643,1710070152,366859968,32246010,-1558318957,-1811310275,239137875
1679919438,-789707848,-1593712291,1879765217,1096668153,-1096801437,59911425,188840730,90968805,927918971,-738471346,561398013,-1561474941,1574157058,-1937978520
1792118325,-1629592302,14586036,-1006343870,22103452,-352614603,1426223285,1379823852,-315933482,1374418886,-1147146956,1435749911,-480458295,236726425,-1299880127
2055967495,-73460019,-1359405735,-1400534678,-1467967534,1211552598,-179252039,-62826407,-395445596,2038480509,-450158898,1805396626,-192045079,1165347584,-560135939
-1679859826,-1069675147,682260625,907752999,-979995073,-1909335494,2120524702,1921485583,-2023161109,-1630487439,-1559844524,-1869758197,-62922022,-1977074425,-1230865176
-24515611,-499180619,769612174,653429594,-1577979590,246092389,-354530711,1390954280,-2101831378,-1020029054,256605390,349505781,-1005733838,1324958587,201057233
-535518473,890386509,-109078448,-300796959,-910266862,-910862850,2138996757,1634286439,1590252560,-819340204,-316846833,1181789970,5708282,62964787,431569596
-561618362,1676914164,-282258252,-2055163819,723452530,812182376,86031998,-1817605651,-129822088,1225184705,-1310440153,1784510043,1157305185,1809750246,1919641093
85459215,-1438630722,679058834,-853840673,1016199123,195098186,-2093754587,360938229,1338652507,-1535791950,-470121537,1665037995,1794467253,1262774483,-670315589
-695768790,1275122692,2101521882,1122233403,-804098853,-924006294,744609777,850703825,-1219727061,403925359,1467010284,496189277,-722372219,2085544501,-435701459
