[##V]_0,[##V]_1,[##V]_2,[AGENCY]_0,[AGENCY]_1,[AGENCY]_2,[CS]_0,[CS]_1,[CS]_2,[UID]_0,[UID]_1,[UID]_2,[YEAR]_0,[YEAR]_1,[YEAR]_2
-423936237,411800639,326409229,1938808611,759650713,-1729656806,997103642,-407918684,-1342149317,1236360779,2066732076,-1227534474,-141890716,376328411,-2102412156
-352672433,1102882517,1850686166,15710836,-434212892,-1467491790,244501013,1370386188,1026275240,-1041365440,-388262899,-1740039602,-1505679918,-2069608955,27266753
1395367009,1949969341,-580730064,285814303,1098915380,929078481,-759122820,1623114291,439080007,607164755,-755115211,-1160673167,-623317443,-359498382,-695770355
1077715479,-755375094,341708194,371549114,-567061618,-1011166679,567481168,1277115866,550971299,-1525920622,257119931,649098920,-248398557,1931725444,-1617959965
-2058989950,-1088165153,-1557002434,759939223,-597448520,-1120944076,-997178768,-1733207893,1767233034,484888669,-741198328,471534321,-626090668,1556429896,-767478560
1112495846,15068615,194859786,400563522,1775056535,1438537668,-1241628213,-219802519,-667434802,1137297495,1618410109,-331224061,-174950077,1224876280,-1430655573
-301101708,-1047693992,-1395828120,1200272316,-1776704734,-1995679704,-819516094,558915995,-2033067335,-1053574680,-1082000497,-1292458069,1595604254,864042453,-141705360
-391464942,1753269642,667099582,-923249263,1466350499,58493850,1929326114,1756043624,-1236726006,-427764865,500879242,292185991,606184075,-1546581311,-1412853649
-1189938646,-1719466877,-1401437024,1622771886,-1123241809,-570222185,18244437,2046176467,-86417743,564700640,-2097230884,110350776,-218985081,-560882018,-2086957695
-1827295575,183988740,1326547467,-1593521609,1678951061,-1873252373,-1538727875,-368036247,-323004057,436873452,-995660001,611972762,-1694234331,1650867719,920948777
-742827068,-495407727,-979773796,816403035,-664442978,791530605,-371975910,-1486190438,1545325633,1454181998,-1495724090,-1382961678,1102116432,500832082,1251760716
809770283,-898827454,1585314190,1207794607,1570201011,1071919397,-979127825,1179064767,231257262,-1047717914,-1484128905,-1785689991,-450000766,-891008346,-847965365
1490884521,-345519142,-296803407,969838608,-1014468341,1389183247,1556075318,-2146164774,-1873733186,-929800153,-1720267871,101809779,889482938,640374675,-816440305
-90296541,1106685301,-1591773193,-2113447840,2041192498,887782471,628552745,-895788830,-2126671222,2118245379,1976361915,331801937,1913426103,1398448519,1995422863
197709089,-832087116,-2120129784,-705657148,1207022719,1389985541,368006715,392861269,1893580357,-913311384,-387158294,-95432449,1748835667,-1913322231,910501585
17655060,-1964696998,-88075245,-574717694,1099114198,-2005921150,-1967273465,1882277089,125238761,1011046565,-780189221,-1306851130,1972023578,-516391007,-1950957749
-962609860,-181371455,2106147125,414781548,1272619438,70929016,-1345314616,-115487141,1808377624,-940852005,217469450,-2062334941,886167630,1754604119,-388521470
375253935,-672859839,-944784661,-1879247487,1527295632,-1779251753,875448169,339052137,1563010486,560050366,667669364,-810494827,1994417676,-553635513,-713599953
-1252050311,-232857594,-1167879154,-133659939,-1354624801,1002469628,-426239764,-635100056,-541721956,154414097,-1776705476,-1179177863,1355542433,1183185033,-302546703
746828264,897610780,-446641282,929173879,829562873,-2104862098,766425444,-1839325956,-1470009305,117855697,-1117620596,1827721727,545901769,1800424379,-776354122
1553068118,1268398618,920913055,1698378122,1498765170,-1082608853,318450702,-443215435,-1948171059,-1227839850,-427269638,-269936633,-1084944982,1096854577,-436278185
155817826,-227846184,1118371504,1373890522,-1797264504,468329791,1998972037,-1932927867,1625389610,1150518903,540265185,1788430142,-1320983735,-51693532,1465185557
672352669,-2086091,570024665,-1131031103,415117877,1333817651,-2066584442,-1875548438,1938694092,-1794961229,1601129001,-1152568767,-59860894,1993329075,660718321
2072272999,1008618608,-55688594,2026988478,1701144413,-99061882,-494473505,1540134227,16428026,1113444867,-1410274269,1399141908,521697695,-831218828,-350713944
-108316080,-84670360,-1281798112,887806734,1693374401,-1980972310,613090179,-95548716,885582578,-1540041854,962714234,201483484,-482384552,-1634395718,-1296471273
-1396341236,1385902492,2039187582,1499752808,-76728369,-1481152954,141871475,421643431,1836468544,1986909172,-2105244037,-1738970810,-88744649,94408186,-1638823585
-2090743698,2054168260,323719332,1481804662,1327936290,2075279050,-379958637,-758797855,-602659756,933138482,-389381912,-399803073,-792727394,-1719868285,606263109
-1808756793,729701700,-895004571,-1970629028,984574894,416681647,412119001,1627826685,2024451252,160793244,1784814051,-1111586691,1522072018,-227212080,-24228681
-1737680382,-805782651,48310858,133448393,-924342725,-228793882,-97024370,216514639,860763728,101013479,-734594252,326525796,281278239,1207504694,-133280700
808714275,-421906236,-1156518620,484148391,1816656950,102977025,-1914250623,1555180283,437253943,-600520058,-1650056654,1921645045,654870531,-1522473267,661034462
-769783989,-260420289,-1396987690,1284204740,900750929,-1204865368,-1424056619,1928286344,1739614525,376176479,1350599246,1796930305,-924938113,1598292154,-1867615463
781699310,-1201242261,2074426366,-1968837859,-656993878,1661516615,-213882598,2048219182,39981892,1840204030,-76684311,-1726324859,1651449732,516621172,502931819
-788396032,1812628442,1317830247,1199177477,1582840217,1416990080,-171144373,1449198936,1268079375,-1506941616,1970140433,-396504016,667179423,1189499099,1322804010
1998621595,1760417110,-464629171,-1912840442,-1262680011,-1317145444,-535899742,1486840735,-115897256,-1149620532,-630823542,1498256525,2090446,-1490982340,1153612423
-958386740,439463028,-1392056758,141747743,-1903876258,479122157,-383111282,-605555848,1462283700,-632632398,368933131,-106149133,860741390,978202081,459071395
2072490984,-1382515180,-125328909,662163503,139567750,1563586434,1748894053,-1217557761,-1631826853,1260619503,-1243227294,-1148843287,-1534040877,-685862990,-402020641
-671879464,2121599369,-1868193121,-1042133318,-918258856,316934709,1873455972,-1302136033,1408268430,1578227733,1727076897,-1571689711,-1639551831,-2037348785,-1537899350
1529868692,-2084079656,-1043055559,209596040,1890783501,35536038,1254101062,-878567401,-538453828,-1247066733,-1540559850,783308562,-1630876538,360273128,-115106214
-883206980,-88489989,-1934896674,1565826801,-735203233,-1742752802,136067937,67689941,-1144920460,-1671374400,-1881805543,-1360227295,-940894250,-640940591,-286659098
1299852588,252603711,-216395848,1371289157,-2015864884,-435151775,1592039630,1538514147,188307762,-1779131252,-776900240,-1824735555,1826414127,-855493335,534674272
-2021942850,1510946448,-95394377,1515962031,640359875,444854387,440402853,-227097018,546845202,749333496,1360593308,-56969051,546374491,544819722,336880774
-159440682,1975167934,1203096978,-1037097847,3763163,987911278,680532643,1329603276,129385421,32246010,1910261683,1710070152,239137875,961845786,-1558318957
-1593712291,365849514,1679919438,-1096801437,-1879637894,1879765217,90968805,230639588,59911425,561398013,-977045043,927918971,-1937978520,1933754127,-1561474941
14586036,-187597934,1792118325,-352614603,799976424,-1006343870,-315933482,-367575429,1426223285,1435749911,-1075325724,1374418886,-1299880127,1606779383,-480458295
-1359405735,804100242,2055967495,1211552598,1278463468,-1400534678,-395445596,-511937268,-179252039,1805396626,-147355104,2038480509,-560135939,1868911602,-192045079
682260625,1934305899,-1679859826,-1909335494,2109512224,907752999,-2023161109,-1953879889,2120524702,-1869758197,-1386490836,-1630487439,-1230865176,-1061837613,-62922022
769612174,829008351,-24515611,246092389,-1985452025,653429594,-2101831378,982423239,-354530711,349505781,-659692623,-1020029054,201057233,-2129715329,-1005733838
-109078448,746128107,-535518473,-910862850,-300349425,-300796959,1590252560,1088351511,2138996757,1181789970,1682193998,-819340204,431569596,439279762,5708282
-282258252,1381554951,-561618362,812182376,-1627956916,-2055163819,-129822088,1858742036,86031998,1784510043,-1832917324,1225184705,1919641093,1565452901,1157305185
679058834,-2027839454,85459215,195098186,-97882812,-853840673,1338652507,-646277020,-2093754587,1665037995,615602596,-1535791950,-670315589,-105201350,1794467253
2101521882,-406515467,-695768790,-924006294,1511868552,1122233403,-1219727061,-1449586675,744609777,496189277,1391499990,403925359,-435701459,1320691067,-722372219
